Sample ID,Fruit #,Tray#,Fruit Number,Subsample (n=50) seed,Total Seed Weight (g),Mean Total Seed Count,Comments,FrtWt,FWslice,DWslice,L1_Frt1,Chroma1_Frt1,Hue1_Frt1,L2_Frt1,Chroma2_Frt1,Hue2_Frt1,Firm1_Frt1,Firm2_Frt1,SSC1_Frt1,DM,avHue,avFirm,avSSC
134196,4,199,40683,0.0636,0.4960,390,,105.48,7.38,1.40,71.83,38.20,100.20,69.26,38.98,99.90,5.06,4.91,13.50,18.97,100.05,4.99,13.50
134196,7,199,40686,0.0681,0.4948,363,,133.68,8.27,1.65,59.59,23.59,98.60,58.54,19.43,99.00,1.25,1.19,16.90,19.95,98.80,1.22,16.90
134196,8,199,40687,0.0711,0.7408,521,,136.18,8.93,1.84,61.93,23.69,99.10,61.19,21.02,99.50,1.59,1.63,17.20,20.60,99.30,1.61,17.20
134196,9,199,40688,0.0707,0.6214,439,,132.34,8.56,1.81,57.94,20.24,98.60,57.71,20.18,97.70,1.62,1.36,18.00,21.14,98.15,1.49,18.00
134198,12,201,40727,0.0711,0.3101,218,,98.11,4.14,0.72,72.17,28.04,100.70,71.83,28.06,100.30,6.37,6.25,12.50,17.39,100.50,6.31,12.50
134198,17,201,40732,0.0740,0.3623,245,,122.53,5.43,0.92,70.75,26.15,100.00,71.35,21.66,99.00,5.86,6.94,11.50,16.94,99.50,6.40,11.50
134199,18,202,40751,0.0682,0.4916,360,,118.39,5.18,0.84,70.69,27.33,99.90,69.33,33.60,101.30,5.99,5.13,11.10,16.22,100.60,5.56,11.10
134200,2,203,40753,0.0695,0.3084,222,,110.13,9.14,1.52,72.95,27.46,101.10,73.35,29.41,101.40,6.50,5.38,10.00,16.63,101.25,5.94,10.00
134200,13,203,40764,0.0681,0.6494,477,,135.05,8.11,1.55,63.16,26.56,99.50,61.64,23.14,100.20,3.02,2.85,15.50,19.11,99.85,2.94,15.50
134200,15,203,40766,0.0614,0.3608,294,,90.16,6.27,0.94,55.42,32.17,102.50,55.33,29.37,100.50,2.50,2.83,13.50,14.99,101.50,2.67,13.50
134200,17,203,40768,0.0685,0.4249,310,,100.62,6.53,1.21,70.36,27.28,100.20,71.08,29.62,100.90,5.17,4.96,12.50,18.53,100.55,5.07,12.50
134206,7,209,40866,0.0634,0.3007,237,,92.59,6.71,1.03,63.79,24.13,100.30,61.86,24.02,102.00,5.78,5.28,13.00,15.35,101.15,5.53,13.00
134207,1,210,40878,0.0646,0.3973,308,,94.23,7.28,1.23,72.79,31.46,103.30,71.87,26.91,100.80,5.32,5.20,8.80,16.90,102.05,5.26,8.80
134207,5,210,40882,0.0650,0.4831,372,,91.05,7.47,1.33,73.54,30.13,100.90,72.45,27.88,100.70,5.77,5.16,10.10,17.80,100.80,5.47,10.10
134207,17,210,40894,0.0609,0.4080,335,,130.73,8.87,1.76,64.33,21.47,100.10,63.16,21.97,99.30,2.87,2.63,16.50,19.84,99.70,2.75,16.50
134210,4,213,40935,0.0634,0.8056,635,,156.84,5.65,1.06,69.18,24.25,99.20,69.48,22.90,98.90,5.62,5.43,14.10,18.76,99.05,5.53,14.10
134211,14,214,40963,0.0674,0.3302,245,,106.69,4.98,0.90,72.15,24.07,99.90,71.80,27.07,100.50,6.14,5.60,11.20,18.07,100.20,5.87,11.20
134212,8,215,40975,0.0648,0.4518,349,,115.70,5.32,0.99,73.82,25.23,101.10,73.98,24.38,100.20,7.99,7.39,10.40,18.61,100.65,7.69,10.40
134215,7,218,41028,0.0690,0.6051,438,,108.27,7.01,1.29,71.84,27.42,99.20,72.03,27.29,98.80,6.15,6.12,13.20,18.40,99.00,6.14,13.20
134215,8,218,41029,0.0646,0.6231,482,,124.16,6.79,1.11,73.29,27.57,100.10,72.08,30.46,100.90,6.23,6.88,11.40,16.35,100.50,6.56,11.40
134215,9,218,41030,0.0675,0.7572,561,,118.02,5.59,1.01,71.06,28.08,99.20,71.26,26.46,99.30,6.87,7.21,13.40,18.07,99.25,7.04,13.40
134215,10,218,41031,0.0606,0.5380,444,,118.27,5.13,0.92,72.21,31.15,99.90,69.84,27.47,100.10,6.42,6.40,14.80,17.93,100.00,6.41,14.80
134219,1,222,41094,0.0732,0.2077,142,,94.28,3.95,0.63,67.16,34.10,100.20,65.88,27.24,100.20,6.36,5.63,13.00,15.95,100.20,6.00,13.00
134221,14,224,50032,0.0662,0.4858,367,,122.05,4.48,0.81,72.22,32.11,99.90,71.52,30.14,99.60,6.41,7.37,14.00,18.08,99.75,6.89,14.00
134222,7,225,50043,0.0659,0.4662,354,,83.24,4.25,0.87,72.71,25.62,99.10,73.35,28.38,100.90,6.98,6.13,10.50,20.47,100.00,6.56,10.50
134222,17,225,50053,0.0684,0.5508,403,,116.54,5.83,0.99,71.01,38.74,103.80,71.92,28.35,101.80,7.67,6.99,10.00,16.98,102.80,7.33,10.00
134223,18,226,50072,0.0672,0.5100,379,,101.22,7.23,1.27,74.89,28.73,100.90,73.22,30.24,101.80,7.38,7.64,9.80,17.57,101.35,7.51,9.80
134225,9,228,50098,0.0652,0.4398,337,,103.20,7.57,1.31,73.94,26.45,100.00,74.77,23.94,99.60,7.19,6.42,11.00,17.31,99.80,6.81,11.00
134226,6,229,50114,0.0709,0.4906,346,,109.70,4.90,0.84,71.83,31.34,99.30,72.74,31.40,100.20,7.48,7.59,10.00,17.14,99.75,7.54,10.00
134230,12,233,50191,0.0657,0.4183,318,,88.94,5.02,0.94,70.05,30.20,101.20,69.84,26.69,100.50,6.06,5.81,12.50,18.73,100.85,5.94,12.50
134232,9,235,50224,0.0633,0.6196,489,,124.13,4.54,0.86,70.94,28.85,99.50,71.25,26.52,99.90,7.16,6.26,12.00,18.94,99.70,6.71,12.00
134233,5,235,50231,0.0664,0.3848,290,,95.20,4.76,0.84,71.97,34.64,101.40,71.43,37.17,102.40,7.53,7.74,10.20,17.65,101.90,7.64,10.20
134233,3,236,50236,0.0714,0.3208,225,,101.58,4.62,0.76,73.46,32.73,102.00,74.06,27.03,100.00,8.42,6.89,10.00,16.45,101.00,7.66,10.00
134233,4,236,50237,0.0699,0.5184,371,,110.65,5.25,0.95,72.84,33.76,101.70,73.52,30.48,101.00,7.88,8.05,10.10,18.10,101.35,7.97,10.10
134234,13,237,50264,0.0698,0.3763,270,,118.57,5.84,1.02,72.68,32.49,102.90,74.56,28.52,101.80,5.91,6.42,8.20,17.47,102.35,6.17,8.20
134236,5,239,50292,0.0614,0.4752,387,,128.81,5.09,0.91,71.04,27.96,101.30,72.35,26.99,100.60,7.41,7.61,10.80,17.88,100.95,7.51,10.80
134238,5,241,50322,0.0700,0.2790,199,,95.74,5.13,0.93,76.26,27.63,100.90,75.58,29.38,101.00,6.54,6.66,8.00,18.13,100.95,6.60,8.00
134238,6,241,50323,0.0705,0.2398,170,,95.96,5.36,0.94,75.57,32.41,101.80,75.79,28.70,101.10,5.64,6.39,8.10,17.54,101.45,6.02,8.10
134240,15,243,50368,0.0617,0.6169,500,,93.98,4.49,0.81,71.71,28.91,99.90,72.73,25.33,100.00,6.38,6.26,12.00,18.04,99.95,6.32,12.00
134242,6,245,50395,0.0690,0.3363,244,,82.57,4.21,0.82,73.26,28.08,99.30,72.50,31.90,101.80,6.05,6.32,11.00,19.48,100.55,6.19,11.00
134242,7,245,50396,0.0662,0.3668,277,,83.29,3.68,0.70,70.43,39.52,103.40,71.69,28.98,101.10,6.97,6.95,11.00,19.02,102.25,6.96,11.00
134243,7,246,50414,0.0717,0.4016,280,,103.27,4.92,0.97,74.57,25.31,99.80,72.77,30.21,100.20,6.64,6.28,11.30,19.72,100.00,6.46,11.30
134244,10,247,50434,0.0657,0.6854,522,,129.39,4.78,0.84,67.72,26.88,99.70,67.57,23.87,99.30,7.03,6.18,13.50,17.57,99.50,6.61,13.50
134244,11,247,50435,0.0718,0.7173,500,,125.87,5.25,0.94,70.67,27.34,99.60,71.39,27.49,99.30,6.34,6.61,13.00,17.90,99.45,6.48,13.00
134244,12,247,50436,0.0721,0.6223,432,,128.73,5.82,0.99,69.45,27.44,98.90,70.56,29.94,100.10,6.11,5.22,13.00,17.01,99.50,5.67,13.00
134244,13,247,50437,0.0682,0.7053,517,,132.24,5.55,0.96,70.04,23.67,99.00,69.80,27.14,99.60,7.35,5.47,11.50,17.30,99.30,6.41,11.50
134248,13,251,50508,0.0707,0.1700,120,,74.80,7.05,1.23,69.68,37.33,101.80,71.65,33.92,101.40,6.81,6.28,11.00,17.45,101.60,6.55,11.00
134250,1,253,50532,0.0665,0.6240,469,,140.55,5.33,0.96,74.27,29.23,100.00,74.64,25.26,99.90,5.93,6.92,10.80,18.01,99.95,6.43,10.80
134251,12,254,50559,0.0702,0.7573,539,,137.68,10.07,1.96,72.50,33.45,99.00,74.59,27.50,100.00,8.01,6.99,11.00,19.46,99.50,7.50,11.00
134251,13,254,50560,0.0673,0.6874,511,,132.53,9.88,1.84,73.63,35.78,102.30,75.10,33.08,100.80,7.44,6.51,10.50,18.62,101.55,6.98,10.50
134256,3,259,50639,0.0676,0.5690,421,,134.00,4.73,0.85,71.00,33.45,101.40,73.14,30.91,101.40,9.40,7.42,10.40,17.97,101.40,8.41,10.40
134256,5,259,50641,0.0681,0.6371,468,,140.90,7.71,1.37,70.75,33.09,103.70,72.85,31.20,102.40,7.66,7.38,8.60,17.77,103.05,7.52,8.60
134256,6,259,50642,0.0731,0.6533,447, ,145.00,6.38,1.14,72.22,36.26,104.60,72.45,33.80,104.50,8.26,7.09,10.00,17.87,104.55,7.68,10.00
134256,4,259,50646,0.0724,0.7088,490,,158.20,7.27,1.37,73.11,28.51,99.80,72.45,29.45,100.70,8.34,8.11,12.00,18.84,100.25,8.23,12.00
134257,11,260,50665,0.0658,0.2798,213,,82.74,4.73,0.81,72.71,35.56,102.30,74.08,33.27,102.30,6.77,8.09,9.00,17.12,102.30,7.43,9.00
134258,15,261,50687,0.0668,0.2999,224,,81.11,5.41,0.93,71.08,34.14,104.00,67.75,28.96,101.00,6.06,5.71,10.90,17.19,102.50,5.89,10.90
134260,13,263,50721,0.0701,0.6466,461,,132.29,5.16,1.07,63.59,32.98,100.00,65.29,30.36,100.40,5.28,4.45,15.20,20.74,100.20,4.87,15.20
134260,15,263,50723,0.0716,0.5511,385, ,137.84,6.92,1.34,72.11,30.93,101.80,72.08,38.76,102.70,9.15,6.38,10.40,19.36,102.25,7.77,10.40
