Vine,Tray,TrayFruit,FruitNum,FruitUUID,ShootID,FruitPos,FloweringColour,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
2,45,1,1,20001,1,1,p,n,-10,,x,19/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,2,45,,51.31,D4412,2.8,0.5,58.6,27,104.8,58.9,28.3,106,1.4,1.1,14.5,,17.7,105.4,1.2,14.5,
2,45,2,2,20002,1,2,p,n,-10,,,19/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,2,45,,77.77,D4413,3.6,0.7,62,40,108.6,61.1,35.6,107.2,1.7,2.2,15.2,,18.5,107.9,2,15.2,
2,45,3,3,20003,1,3,p,l,-10,,x,19/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,2,45,,85.11,D4414,3.6,0.7,62.5,33.3,103.9,62.1,32.8,105.3,2.7,2.9,14.5,,18,104.6,2.8,14.5,
2,45,4,4,20004,2,1,y,n,-10,,,19/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,2,45,,106.18,D4415,4.4,0.8,65.1,28.8,103.8,65.9,25.4,102,2.6,2.5,14.6,,18.5,102.9,2.5,14.6,
2,45,5,5,20005,2,2,w,n,-10,,,19/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,2,45,,100.06,D4416,4.1,0.7,64.4,36.8,108.2,66.4,28,104.3,4,3.4,13.2,,18,106.3,3.7,13.2,
2,45,6,6,20006,2,3,w,l,-10,,,19/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,2,45,,109.72,D4417,4.7,0.8,62.8,34.6,106.2,63,39.1,108.7,3.7,2.4,13.6,,17.9,107.5,3.1,13.6,
2,45,7,7,20007,3,1,w,n,-10,,,19/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,2,45,,94.17,D4418,4.4,0.8,64.8,28.1,103.6,61.4,35.8,107.5,2.2,2.4,14.4,,18.3,105.6,2.3,14.4,
2,45,8,8,20008,3,2,w,n,10,,x,19/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,2,45,,100.36,D4419,4.5,0.8,63.1,34.6,106.7,65.7,38.9,105.8,3.5,3,13.8,,18.6,106.3,3.2,13.8,
2,45,9,9,20009,4,1,y,n,-10,,,19/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,2,45,,113.14,D4420,5.3,1,64.8,32,104.3,67.6,28.9,103.1,2.3,2.3,14.4,,18.3,103.7,2.3,14.4,
2,45,10,10,20010,4,2,y,l,10,,,19/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,2,45,,105.76,D4421,4.6,0.8,65.4,25.5,102.9,65.2,24.8,102.5,2.3,2.3,14.8,,18.3,102.7,2.3,14.8,
2,45,11,11,20011,4,3,w,n,-10,,,19/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,2,45,,99.61,D4422,4.7,0.9,65.7,28.1,103,64.4,30.9,104.3,2.3,2.5,14.4,,18.3,103.7,2.4,14.4,
