Vine,Tray,TrayFruit,FruitNum,FruitUUID,ShootID,FruitPos,FloweringColour,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
9,504,1,1,90001,4,1,y,,-10,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,125.56,D4953,6.13,1.25,60.55,23.56,99.2,59.9,23.53,99.7,1.64,1.99,16.8,,20.39151713,99.45,1.815,16.8,
9,504,2,2,90002,4,2,y,,-10,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,128.12,D4954,4.99,1.02,59.38,25.13,99.7,59.05,23.61,99,1.61,1.62,17.8,,20.44088176,99.35,1.615,17.8,
9,504,3,3,90003,4,3,w,,10,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,112.65,D4955,5.92,1.16,63.79,24.73,99.7,63.79,21.43,99.3,4.34,3.82,16.2,,19.59459459,99.5,4.08,16.2,
9,504,4,4,90004,4,4,y,,-10,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,125.02,D4956,6.09,1.26,56.7,20.98,99.6,57.46,21.27,97.9,1.02,0.98,18,,20.68965517,98.75,1,18,
9,504,5,5,90005,5,1,y,,-20,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,135.66,D4957,7.08,1.44,62.32,25.99,99.2,61.59,24.09,99.1,1.82,1.9,16.6,,20.33898305,99.15,1.86,16.6,
9,504,6,6,90006,,,,,,missing,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,,,,,,,,,,,,,,,,,,,nf
9,504,7,7,90007,5,2,y,,-20,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,127.22,D4958,6.37,1.29,57.06,22.44,98.5,56.58,23.27,99.8,1.29,1.31,17,,20.25117739,99.15,1.3,17,
9,504,8,8,90008,5,3,y,,-20,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,141.87,D4959,7.15,1.41,56.61,21.89,98.1,58.85,23.87,99.5,1.4,1.62,17.4,,19.72027972,98.8,1.51,17.4,
9,504,9,9,90009,5,4,y,,-20,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,124.54,D4960,5.99,1.19,55.48,22.26,98.2,55.81,21.16,98.5,1.36,1.28,17.2,,19.86644407,98.35,1.32,17.2,
9,504,10,10,90010,5,5,y,,-20,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,129.03,D4961,6.91,1.37,58.6,22.51,98.9,58.68,23.61,99.4,1.25,1.46,16.9,,19.82633864,99.15,1.355,16.9,
9,504,11,11,90011,6,1,w,,-20,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,106.14,D4962,5.97,1.21,59.14,25.86,99.4,59.19,25.11,99.1,1.58,1.32,17.6,,20.2680067,99.25,1.45,17.6,
9,504,12,12,90012,6,2,w,,-20,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,101.85,D4963,6.06,1.22,57.74,25.5,99.2,55.47,21.57,99.1,1.19,1.24,17.2,,20.1320132,99.15,1.215,17.2,
9,504,13,13,90013,6,3,pi,,-20,,x,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,59.13,D4964,4.24,0.8,57.5,25.24,98.3,53.48,22.81,96.2,2.12,2.08,16.2,,18.86792453,97.25,2.1,16.2,
9,504,14,14,90014,7,1,y,,-10,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,120.28,D4965,7.43,1.35,64.75,31.42,99.7,64.57,26.07,98.9,4.24,4.31,14.6,,18.16958277,99.3,4.275,14.6,
9,504,15,15,90015,7,2,w,,-10,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,118.45,D4966,6.4,1.16,61.58,26.17,99.4,60.3,22.15,99,3.14,3.57,15,,18.125,99.2,3.355,15,
9,504,16,16,90016,7,3,y,,-10,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,117.16,D4967,6.86,1.3,67.93,30.12,99.9,67.98,25.4,99.1,4.99,4.93,14.4,,18.95043732,99.5,4.96,14.4,
9,504,17,17,90017,7,4,y,,-10,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,113.83,D4968,6.63,1.25,66.01,26.71,99.4,65.4,24.18,99.7,3.51,3.54,15,,18.85369532,99.55,3.525,15,
9,504,18,18,90018,7,5,w,,-10,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,504,,110.5,D4969,6.33,1.2,61.21,25.24,98.7,62.64,25.21,99.2,2.94,2.82,15.8,,18.95734597,98.95,2.88,15.8,
9,505,1,19,90019,8,1,y,,-20,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,505,,122.44,d0045,6.28,1.14,71.9,31.38,99.7,71.96,29.03,99,6.28,6.52,13,,18.15286624,99.35,6.4,13,
9,505,2,20,90020,8,2,y,,-20,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,505,,102.85,d0046,5.61,1.02,70.92,30.95,99.9,71.86,30.22,100.2,6.39,6.48,13,,18.18181818,100.05,6.435,13,
9,505,3,21,90021,8,3,y,,-20,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,505,,111.21,d0047,7.36,1.38,70.75,25.29,99.4,67.95,26.94,95.6,5.6,6.57,13,,18.75,97.5,6.085,13,
9,505,4,22,90022,8,4,y,,-20,,,8/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,9,505,,114.9,d0048,5.91,1.12,65.9,27.2,99.3,64.72,27.14,98.6,5.09,5.09,14.6,,18.95093063,98.95,5.09,14.6,
