Vine,Tray,TrayFruit,FruitNum,FruitUUID,ShootID,FruitPos,FloweringColour,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
7,434,1,1,70001,1,1,w,,-10,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,75.34,d3456,4.21,0.77,65.73,31.04,99.4,65.24,31.51,99.7,3.16,3.04,16.8,,18.28978622,99.55,3.1,16.8,
7,434,2,2,70002,2,1,w,,10,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,136.4,d3457,8.67,1.65,65.36,29.03,100,66.5,27.33,99.8,5.43,5.45,14.6,,19.03114187,99.9,5.44,14.6,
7,434,3,3,70003,2,2,y,,10,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,127.9,d3458,5.84,1.09,66.31,28.79,99.8,67.19,26.81,99.6,5.19,4.83,14.6,,18.66438356,99.7,5.01,14.6,
7,434,4,4,70004,2,3,y,,10,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,138.24,d3459,7.98,1.46,68.9,28.11,99.2,69.43,26.22,99.9,6.2,6.55,13.4,,18.29573935,99.55,6.375,13.4,
7,434,5,5,70005,2,4,y,,10,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,135.54,d3460,6.78,1.25,67.35,37.13,98.9,68.93,38.05,99.7,6.16,6.11,13.1,,18.43657817,99.3,6.135,13.1,
7,434,6,6,70006,2,5,y,,10,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,139.56,d3461,8.82,1.64,71.67,31.4,100.9,70.46,28.05,99.2,6.17,6.38,12.3,,18.59410431,100.05,6.275,12.3,
7,434,7,7,70007,4,1,,,10,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,114.86,d3462,7.18,1.25,72.94,32.73,102.3,72.63,31.54,101.1,6.69,6.67,10.8,,17.40947075,101.7,6.68,10.8,
7,434,8,8,70008,5,1,w,,-20,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,81.53,d3463,4.84,0.87,60.6,24.21,99.2,62.29,26.61,99.6,2.88,2.91,15.7,,17.97520661,99.4,2.895,15.7,
7,434,9,9,70009,5,2,w,,-20,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,86.11,d3464,4.27,0.8,63.06,26.73,99.2,62.87,26.45,99.3,2.56,2.27,16,,18.735363,99.25,2.415,16,
7,434,10,10,70010,5,3,w,,-20,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,107.01,d3465,5.41,1.02,63.95,29.63,98.6,66.96,27.64,99,3.77,3.54,15.5,,18.85397412,98.8,3.655,15.5,
7,434,11,11,70011,5,4,w,,-20,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,73.19,d3466,4.83,0.86,62.58,27.51,99.7,59.61,28.05,99.7,2.68,2.47,15.5,,17.80538302,99.7,2.575,15.5,
7,434,12,12,70012,6,1,w,,10,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,111.41,d3467,6.22,1.18,64.06,26.94,99.9,64.25,24.06,99.3,3.12,3.28,15.5,,18.97106109,99.6,3.2,15.5,
7,434,13,13,70013,6,2,w,,10,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,116.18,d3468,6.1,1.16,61.32,23.55,99,58.77,23.18,99,2.33,2.51,16.2,,19.01639344,99,2.42,16.2,
7,434,14,1301,71301,6,3,w,,10,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,101.57,d3469,5.93,1.13,62.62,27.22,98.5,54.03,21.34,98.7,2.35,3,15.6,,19.05564924,98.6,2.675,15.6,
7,434,15,14,70014,6,4,w,,10,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,80.76,d3470,4.73,0.86,52.51,20.43,98.1,53.69,22.19,101.3,2.14,2.14,15.7,,18.18181818,99.7,2.14,15.7,
7,434,16,15,70015,7,1,p,,-20,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,95.48,d3471,4.66,0.85,64.12,30.87,98.7,59.18,27.82,96.5,2.74,2.54,15.7,,18.24034335,97.6,2.64,15.7,
7,434,17,16,70016,8,1,w,,-20,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,98.43,d3472,6.93,1.32,66.31,24.09,99.3,68.81,25.38,99.5,5.46,4.19,14.2,,19.04761905,99.4,4.825,14.2,
7,434,18,17,70017,8,2,p,,-20,,,7/05/2020,KiwMac,Variability 9 Vines,Gold3,Spur,7,434,,109.45,d3473,7.5,1.46,72.1,27.05,99.9,72.46,23.75,99.1,7.1,7,12.2,,19.46666667,99.5,7.05,12.2,
