Vine,Tray,TrayFruit,FruitNum,FruitUUID,ShootID,FruitPos,FloweringColour,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
6,297,1,1,60001,2,1,p,n,-10,,,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,91.78,D0378,3.67,0.7,59.29,33.11,101.1,58.14,30.43,101.2,2.67,2.91,16,,19.07356948,101.15,2.79,16,
6,297,2,2,60002,4,1,w,n,-10,,,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,126.73,D0379,5.19,1.03,61.59,27.07,99.9,61.02,25.79,99.4,3.1,2.54,16,,19.84585742,99.65,2.82,16,
6,297,3,3,60003,4,2,w,n,-10,,,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,126.8,D0380,4.76,0.94,62.1,33.23,100.2,63.04,29.22,99.8,2.78,2.11,16,,19.74789916,100,2.445,16,
6,297,4,4,60004,6,1,w,n,-10,,x,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,125.81,D0381,4.69,0.97,60.47,25.58,99.1,56.2,26.21,99.1,1.42,1.58,17,,20.68230277,99.1,1.5,17,
6,297,5,5,60005,6,2,w,n,-10,,,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,137.6,D0382,5.06,1.04,59.82,26.76,99.2,61.94,24.3,99.1,1.84,1.75,16.5,,20.55335968,99.15,1.795,16.5,
6,297,6,6,60006,6,3,w,m,-10,,,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,112.21,D0383,4.36,0.88,61.3,25.99,99.6,61.4,23.34,98.9,2.37,2.21,16,,20.18348624,99.25,2.29,16,
6,297,7,7,60007,6,4,w,l,-10,,,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,123.34,D0384,4.73,0.97,61.44,21.39,99.6,59.56,23.4,99.6,1.88,1.73,16.5,,20.50739958,99.6,1.805,16.5,
6,297,8,8,60008,8,1,w,n,-10,,,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,102.04,D0385,4.21,0.83,64.16,26.05,98.6,62.77,28.58,98.7,2.8,2.23,16,,19.71496437,98.65,2.515,16,
6,297,9,9,60009,8,2,w,m,-10,,,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,91.24,D0386,3.86,0.73,58.3,24.63,100.1,58.03,21.9,99.9,2.32,2.17,16,,18.9119171,100,2.245,16,
6,297,10,10,60010,8,3,w,n,-10,,,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,111.04,D0387,4.2,0.79,54.35,25.48,99.4,55.58,22.64,99.6,1.53,1.8,18,,18.80952381,99.5,1.665,18,
