Vine,Tray,TrayFruit,FruitNum,FruitUUID,ShootID,FruitPos,FloweringColour,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
5,224,6,,50024,6,2,w,m,-20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,116.30,D2568,6.5,1.2,70.4,29.4,98.8,70.0,28.3,99.8,6.0,5.5,13.5,,18.8,99.3,5.7,13.5,
5,224,7,,50025,6,3,w,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,117.34,D2569,4.7,0.9,70.5,33.0,99.3,72.7,32.1,99.9,5.8,5.6,12.5,,18.6,99.6,5.7,12.5,
5,224,8,,50026,6,4,w,l,-20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,110.38,D2570,4.4,0.8,73.5,26.2,99.5,71.4,27.0,99.7,6.9,6.2,12.5,,18.4,99.6,6.5,12.5,
5,224,9,,50027,6,5,w,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,86.53,D2571,3.8,0.6,65.8,29.9,99.9,64.4,29.7,99.0,5.1,4.8,14.5,,16.6,99.5,4.9,14.5,
5,224,10,,50028,7,1,y,n,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,106.17,D2572,4.7,0.9,58.4,34.6,100.2,61.4,29.0,99.2,3.2,3.4,14.5,,18.6,99.7,3.3,14.5,
5,224,11,,50029,7,2,y,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,94.86,D2573,4.1,0.7,62.2,29.0,99.0,66.8,32.6,99.3,4.7,4.6,14.5,,18.3,99.2,4.6,14.5,
5,224,12,,50030,7,3,y,l,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,118.09,D2574,5.1,0.9,66.0,33.9,98.9,66.6,31.8,100.1,4.5,4.4,14.5,,18.5,99.5,4.4,14.5,
5,224,13,,50031,7,4,y,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,85.08,D2575,4.4,0.8,58.7,31.7,98.9,56.1,22.5,98.9,3.0,2.6,13.0,,17.9,98.9,2.8,13,
5,224,14,,50032,8,1,pi,l,-20,,x,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,122.05,D2576,4.5,0.8,72.2,32.1,99.9,71.5,30.1,99.6,6.4,7.4,14.0,,18.1,99.8,6.9,14,
5,224,15,,50033,10,1,y,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,116.36,D2577,5.0,0.9,68.6,30.0,98.8,68.1,29.0,98.8,4.8,5.3,14.0,,18.6,98.8,5.0,14,
