"field_names"
"meanDM"
"new_x"
"y"
"VineUUID"
"ID"
"x"
"CaneUUID"
"meanFW"
"FruitPerShoot"
"ShootTypeCoarse"
"WoodType"
"LeafLoss"
"DaysSinceFlowering"
