Vine,FruitID,Combined,ShootID,FruitPos,Flowering,Sub-T Leaf,Height,Notes,SampleID,FruitNo,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments,Blk seed,Red Spread,Red Int Inner,Red Int Outer,Yellow(FAST),CoreFirm,Rot,Bomb,LTB,Shrivel,SampleSSCAvg,SampleSSCMin,SampleSSCMax,SampleSSCPass,Flatplate_1,Flatplate_2,Pericarp_Firm,Frt_Diam_W1,Frt_Diam_W2,Frt_Length,nonD_Firm_1,nonD_Firm_2,Firm_Gun_1,Firm_Gun_2,Seed_Wt_Total,Seed_Wt_Sub,Full_Seed_Wt_Sub,Full_Seed_Count_Sub,Empty_Seed_Count_Sub
4,32,40032,12,1,y,n,-10,,134159,15,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,162,,151.21,D1203,9.9,1.9,62.7,22.8,99.1,61.5,23.9,100.0,2.4,2.0,16.1,,19.6,99.6,2.2,16.1,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,33,40033,12,2,y,n,-10,,134159,16,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,162,,161.84,D1204,9.9,1.9,60.9,22.9,99.1,62.1,23.6,99.4,2.5,2.1,16.0,,19.5,99.3,2.3,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,34,40034,13,1,y,n,-20,,134159,17,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,162,,135.29,D1205,7.5,1.3,58.5,23.2,98.8,58.9,25.2,99.3,1.9,2.3,16.1,,17.7,99.1,2.1,16.1,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,35,40035,13,2,y,n,-20,,134159,18,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,162,,132.14,D1206,7.6,1.4,58.4,24.2,100.0,56.2,21.8,99.7,1.8,1.5,16.1,,18.3,99.9,1.6,16.1,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,36,40036,14,1,bl,n,-20,,134160,1,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,143.45,D0144,5.5,1.1,62.2,28.3,98.7,62.6,24.9,99.6,2.5,2.1,15.0,,19.6,99.2,2.3,15,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,37,40037,14,2,bl,l,-10,,134160,2,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,139.97,D0145,5.4,1.1,64.2,28.8,99.7,62.1,26.4,99.6,2.1,2.2,17.0,,19.8,99.7,2.2,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,38,40038,15,1,y,l,10,,134160,3,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,157.46,D0146,5.3,1.0,55.0,25.6,100.1,57.4,27.2,100.6,1.7,1.7,17.0,,19.2,100.4,1.7,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,39,40039,16,1,y,n,-10,,134160,4,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,115.33,D0147,4.3,0.9,56.3,21.8,100.8,56.1,21.3,99.9,1.5,1.6,17.0,,19.8,100.4,1.6,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,40,40040,16,2,y,n,-10,,134160,5,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,156.52,D0148,4.8,1.0,61.4,29.2,100.2,59.5,24.4,99.3,1.9,1.9,17.0,,20.2,99.8,1.9,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,41,40041,16,3,y,n,-10,,134160,6,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,146.63,D0149,5.1,1.0,59.5,30.4,97.3,61.6,29.5,99.6,2.0,1.9,17.5,,20.4,98.5,1.9,17.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
