Vine,Tray,TrayFruit,FruitID,Combined,ShootID,FruitPos,Flowering,Height,Sub-T Leaf,Notes,SampleID,FruitNo,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments,Blk seed,Red Spread,Red Int Inner,Red Int Outer,Yellow(FAST),CoreFirm,Rot,Bomb,LTB,Shrivel,SampleSSCAvg,SampleSSCMin,SampleSSCMax,SampleSSCPass,Flatplate_1,Flatplate_2,Pericarp_Firm,Frt_Diam_W1,Frt_Diam_W2,Frt_Length,nonD_Firm_1,nonD_Firm_2,Firm_Gun_1,Firm_Gun_2,Seed_Wt_Total,Seed_Wt_Sub,Full_Seed_Wt_Sub,Full_Seed_Count_Sub,Empty_Seed_Count_Sub
5,223,1,0001,50001,1,1,y,-20,n,,134220,1,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,104.35,D2357,4.1,0.8,70.8,27.4,99.9,71.2,25.8,99.0,6.6,6.0,13.5,,18.9,99.5,6.3,13.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,2,0002,50002,1,2,y,-20,n,,134220,2,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,103.05,D2358,4.2,0.7,64.5,32.1,99.2,67.2,28.8,99.7,6.9,6.0,13.5,,17.3,99.5,6.5,13.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,3,0003,50003,1,3,y,-20,n,,134220,3,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,119.57,D2359,4.5,0.8,69.1,31.0,100.4,70.9,26.3,99.9,6.7,6.5,15.0,,17.7,100.2,6.6,15,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,4,0004,50004,1,4,y,-20,n,,134220,4,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,91.13,D2360,3.3,0.6,59.3,29.5,98.6,61.7,28.5,100.4,3.5,5.0,12.5,,17.1,99.5,4.2,12.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,5,0005,50005,2,1,.,-20,n,,134220,5,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,79.85,D2361,3.7,0.6,71.3,26.4,99.7,67.3,25.3,100.1,7.0,6.2,13.0,,17.5,99.9,6.6,13,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,6,0006,50006,2,2,.,-20,m,,134220,6,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,100.49,D2362,4.3,0.8,70.0,28.8,100.1,69.2,33.0,100.8,6.8,6.0,11.5,,18.4,100.5,6.4,11.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,7,0007,50007,2,3,.,-20,l,,134220,7,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,95.11,D2363,4.4,0.8,71.5,32.5,101.3,72.1,28.6,100.6,7.7,6.6,14.0,,18.2,101.0,7.1,14,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,8,0008,50008,3,1,y,-20,n,,134220,8,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,113.23,D2364,4.5,0.9,65.6,33.5,100.0,66.2,29.4,99.1,6.1,5.4,12.5,,18.9,99.6,5.7,12.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,9,0009,50009,3,2,y,-20,m,,134220,9,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,117.27,D2365,4.8,0.9,71.0,31.4,99.3,70.4,24.1,99.8,6.2,6.7,12.5,,18.1,99.6,6.5,12.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,10,0010,50010,3,3,y,-20,n,,134220,10,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,120.74,D2366,4.4,0.8,73.0,27.0,98.8,72.1,31.2,100.0,6.4,6.4,12.5,,18.7,99.4,6.4,12.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,11,0011,50011,3,4,y,-20,l,,134220,11,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,122.16,D2367,4.5,0.8,69.8,28.0,98.8,68.9,27.1,99.3,6.3,5.8,12.5,,18.3,99.1,6.1,12.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,12,0012,50012,3,5,y,10,l,,134220,12,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,113.61,D2368,4.1,0.7,69.2,28.9,99.4,68.6,33.0,100.1,6.3,6.1,14.0,,17.6,99.8,6.2,14,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,223,13,0013,50013,4,1,w,10,n,,134220,13,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,223,,120.53,D2369,5.3,1.0,70.1,29.1,100.4,70.5,27.8,99.9,7.0,6.8,12.0,,18.0,100.2,6.9,12,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
