vine_id,from,to,length,to_shoot_id,spur,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes
1,123,125,180,,,,190,390,9,,,W,7,
1,125,126,170,,,,100,570,9,,,W,7,
1,126,127,130,,,,110,640,9,,,W,7,
1,127,128,160,73,,3,40,790,9,,,W,7,
1,128,129,90,74,,3,20,890,9,,,W,7,
1,129,130,100,75,,3,470,920,15,,,W,7,
1,130,131,140,76,,3,430,60,14,,,W,7,
1,131,132,180,77,,3,380,240,14,,,W,7,
1,132,133,140,78,,3,350,380,14,,,W,7,
1,133,134,230,79,,3,330,590,14,,,W,7,
1,134,135,80,80,,3,320,680,14,,,W,7,
1,135,136,100,81,,3,330,770,14,,,W,7,
1,136,137,50,82,,3,340,820,14,,,W,7,
1,137,138,220,83,,3,330,70,13,,,W,7,
1,138,139,270,84,,3,340,330,13,,,W,7,
1,139,140,110,85,,3,340,350,13,,,W,7,
1,140,141,80,86,,3,340,530,13,,,W,7,
1,142,121,100,,,,160,10,10,,7,,7,
1,142,143,140,,,,100,180,10,,,E,8,
1,143,144,110,87,,,190,220,10,,,E,8,
1,144,145,200,,,,220,420,10,,,E,8,
1,145,146,100,88,,,270,480,10,,,E,8,
1,146,147,60,,,,240,520,10,,,E,8,
1,147,148,160,89,,14,120,610,10,,,E,8,
1,148,149,160,90,,14,30,760,10,,,E,8,
1,149,150,90,91,,14,490,830,16,,,E,8,
1,150,151,100,92,,14,480,910,16,,,E,8,
1,151,152,90,93,,14,450,10,17,,,E,8,
1,152,153,180,94,,14,440,190,17,,,E,8,
1,153,154,60,95,,14,400,240,17,,,E,8,
1,154,155,80,96,,14,410,300,17,,,E,8,
1,155,156,130,97,,14,400,450,17,,,E,8,
1,156,157,90,98,,14,410,540,17,,,E,8,
1,157,158,60,99,,14,400,600,17,,,E,8,
1,158,159,100,100,,14,400,710,17,,,E,8,
1,159,160,70,101,,14,390,770,17,,,E,8,
1,160,161,80,102,,14,360,860,17,,,E,8,
1,161,162,190,103,,14,350,70,18,,,E,8,
1,162,163,70,104,,14,350,140,18,,,E,8,
