Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth?,Strung?,Shoot diameter,notes,,,,,,,,
118,7,1,,,l,,,,12.99,,,,,,,,,
119,7,1,,,l,,,,12.15,,,,,,,,,
120,7,3,,3,,,,,3.68,,,,,,,,,
121,7,3,,11,,,,,4.74,,,,,,,,,
122,7,2,,,l,,,,9.78,,,,,,,,,
123,7,2,,89,,,,,9.05,,,,,,,,,
124,7,2,,87,,,,,8.83,,,,,,,,,
125,7,2,,134,,,,,9.03,,,,,,,,,
126,7,2,,46,,,,,7.87,,,,,,,,,
127,7,1,,10,,,,,7.49,,,,,,,,,
128,7,2,,76,,y,,,7.74,,,,,,,,,
129,7,3,,6,,,,,8.07,,,,,,,,,
130,7,1,,64,,,,,7.39,,,,,,,,,
131,7,1,,46,,y,,,8.82,,,,,,,,,
132,7,3,,10,,y,,,7.68,,,,,,,,,
133,8,1,,,l,,,,14.38,,,,,,,,,
134,8,1,,,l,,,,10.97,,,,,,,,,
135,8,1,,2,,,,,5.86,,,,,,,,,
136,8,1,,50,,,,,8.01,,,,,,,,,
137,8,3,,14,,y,,,6.76,,,,,,,,,
138,8,1,,50,,,,,7.61,,,,,,,,,
139,8,2,,36,,,,,7.16,,,,,,,,,
140,9,1,,8,,,,,6.4,,,,,,,,,
141,9,1,,15,,,,,6.72,,,,,,,,,
142,9,1,,10,,,,,5.91,,,,,,,,,
143,9,1,,9,,,,,6.78,,,,,,,,,
144,9,3,,3,,,,,4.14,,,,,,,,,
145,9,1,,3,,,,,6.74,,,,,,,,,
146,9,2,,16,,,,,6.47,,,,,,,,,
147,9,1,,1,,,,,4.44,,,,,,,,,
148,9,1,,3,,,,,6.9,,,,,,,,,
149,9,1,,10,,y,,,6.9,,,,,,,,,
150,9,1,,,l,,,,8.58,,,,,,,,,
151,9,3,,1,,,,,5.48,,,,,,,,,
152,9,1,,3,,,,,4.45,,,,,,,,,
153,9,1,,5,,,,,7.51,,,,,,,,,
154,9,1,,13,,y,,,8.35,,,,,,,,,
155,9,1,,35,,,,,8.15,,,,,,,,,
156,9,1,,1,,,,,4.36,,,,,,,,,
157,9,1,,,l,,,,11.7,,,,,,,,,
158,9,2,,19,,,,,7.58,,,,,,,,,
159,9,3,,5,,,,,6.4,,,,,,,,,
160,9,2,,57,,,,,8.21,,,,,,,,,
161,9,2,,56,,,,,8.45,,,,,,,,,
162,9,2,,,l,,,,10.94,,,,,,,,,
163,9,2,,93,,,,,9.89,,,,,,,,,
164,9,2,,92,,,,,8.58,,,,,,,,,
165,9,3,,20,,,,,7.24,,,,,,,,,
166,9,3,,8,,,,,7.04,,,,,,,,,
167,9,2,,122,,,,,8.76,,,,,,,,,
168,9,3,,15,,,,,6.76,,,,,,,,,
169,9,2,,76,,,,,8.63,,,,,,,,,
170,9,3,,3,,,,,3.33,,,,,,,,,
171,9,2,,50,,,,,8,,,,,,,,,
172,9,3,,10,,,,,6.88,,,,,,,,,
173,9,2,,126,,,,,7.76,,,,,,,,,
174,9,3,,9,,y,,,6.32,,,,,,,,,
404,9,2,,8,,,,,6.64,,,,,,,,,
175,10,1,,,l,,,strung,11.94,,,,,,,,,
176,10,3,,3,,,,,7.5,,,,,,,,,
177,10,1,,8,,,,,6.5,,,,,,,,,
178,10,2,,1,,,,,6.19,,,,,,,,,
179,10,1,,10,,y,,,8.66,,,,,,,,,
180,10,1,,11,,,,,6.86,,,,,,,,,
181,10,1,,4,,,,,5.18,,,,,,,,,
182,10,1,,7,,,,,6.53,,,,,,,,,
183,10,2,,13,,,,,5.16,,,,,,,,,
184,10,1,,73,,,,,7.74,,,,,,,,,
185,10,2,,22,,,,,5.31,,,,,,,,,
186,10,1,,1,,,,,8.36,,,,,,,,,
187,10,1,,4,,,,,5.2,,,,,,,,,
188,10,1,,,l,,,,12.49,,,,,,,,,
189,10,1,,35,,,,,7.14,,,,,,,,,
190,10,1,,5,,,,,5.97,,,,,,,,,
191,10,1,,170,,,,,10.23,,,,,,,,,
192,10,2,,88,,,,,8.61,,,,,,,,,
193,10,2,,18,,,,,6.48,,,,,,,,,
194,10,3,,41,,,,,6.76,,,,,,,,,
195,10,3,,32,,,,,7.5,,,,,,,,,
196,10,2,,86,,,,,8.25,,,,,,,,,
197,10,3,,11,,,,,7.99,,,,,,,,,
198,10,3,,4,,,,,6.19,,,,,,,,,
199,10,3,,29,,,,,7.67,,,,,,,,,
200,10,3,,3,,,,,5.59,,,,,,,,,
201,10,3,,5,,,,,6.22,,,,,,,,,
202,10,3,,1,,,,,2.48,,,,,,,,,
203,10,3,,19,,,,,7.1,,,,,,,,,
204,10,3,,20,,,,,7.73,,,,,,,,,
205,10,3,,5,,,,,4.31,,,,,,,,,
206,10,3,,12,,,,,7.71,,,,,,,,,
207,10,3,,24,,,,,6.53,,,,,,,,,
208,10,3,,15,,y,,,8.3,,,,,,,,,
209,10,1,,42,,,,,8.25,,,,,,,,,
210,10,1,,32,,,,,6.7,,,,,,,,,
211,10,3,,3,,,,,9.91,,,,,,,,,
212,10,1,,10,,y,,,11.75,,,,,,,,,
213,10,1,,3,,,,,5.54,,,,,,,,,
214,10,2,,247,,,,,9.84,,,,,,,,,
215,10,1,,51,,,,,8.86,,,,,,,,,
216,10,2,,33,,,,,8,,,,,,,,,
217,10,2,,65,,,,,9.4,,,,,,,,,
218,10,2,,42,,,,,8.17,,,,,,,,,
219,10,3,,2,,,,,5.31,,,,,,,,,
220,10,2,,88,,,,,10.36,,,,,,,,,
221,10,2,,139,,,,,9.93,,,,,,,,,
222,10,3,,31,,,,,7.29,,,,,,,,,
223,10,3,,4,,,,,4.08,,,,,,,,,
224,10,3,,7,,,,,4.85,,,,,,,,,
225,10,1,,47,,,,,8.52,,,,,,,,,
226,10,1,,54,,,,,9.08,,,,,,,,,
227,10,2,,37,,,,,7.94,,,,,,,,,
228,10,2,,35,,,,,9.26,,,,,,,,,
229,10,3,,20,,y,,,7.18,,,,,,,,,
230,11,1,,210,,,,,8.01,,,,,,,,,
231,11,1,,2,,,,,6.04,,,,,,,,,
232,11,2,,47,,,,,7.48,,,,,,,,,
233,11,1,,,l,,,strung,15.42,,,,,,,,,
380,12,1,,104,,,,,10.56,,,,,,,,,
381,12,1,,,l,,,strung,14.54,,,,,,,,,
382,12,1,,4,,,,,4.99,,,,,,,,,
383,12,1,,5,,,,,5.85,,,,,,,,,
384,12,1,,165,,,,,9.11,,,,,,,,,
385,12,2,,,l,,,,13.49,,,,,,,,,
386,12,3,,3,,,,,6.78,,,,,,,,,
387,12,2,,18,,,,,6.45,,,,,,,,,
388,12,2,,93,,,,,8.67,,,,,,,,,
389,12,3,,3,,,,,3.21,,,,,,,,,
390,12,2,,125,,,,,9.48,,,,,,,,,
391,12,3,,15,,,,,8.41,,,,,,,,,
392,12,2,,73,,,,,7.68,,,,,,,,,
393,12,3,,28,,,,,7.55,,,,,,,,,
394,12,2,,100,,,,,8.75,,,,,,,,,
395,12,2,,76,,,,,9.83,,,,,,,,,
396,12,2,,54,,,,,9.49,,,,,,,,,
397,12,3,,42,,,,,8.03,,,,,,,,,
398,12,2,,60,,,,,8.49,,,,,,,,,
399,12,2,,37,,,,,7.23,,,,,,,,,
400,12,3,,29,,,,,8.05,,,,,,,,,
401,12,3,,18,,y,,,8.14,,,,,,,,,
402,12,2,,40,,,,,8.71,,,,,,,,,
234,13,1,,,l,,,strung,18.71,,,,,,,,,
235,13,1,,310,,,,,10.27,,,,,,,,,
236,13,1,,320,,,,,13.99,,,,,,,,,
237,13,3,,3,,,,,4.56,,,,,,,,,
238,13,1,,3,,,,,5.04,,,,,,,,,
239,13,1,,,l,,,,10.36,,,,,,,,,
240,13,1,,,l,,,,10.76,,,,,,,,,
241,13,3,,25,,,,,7.71,,,,,,,,,
242,13,2,,113,,,,,8.85,,,,,,,,,
243,13,3,,39,,,,,8.37,,,,,,,,,
244,13,3,,43,,,,,7.56,,,,,,,,,
245,13,3,,1,,,,,5.37,,,,,,,,,
246,13,3,,1,,,,,7.88,,,,,,,,,
247,13,2,,6,,,,,9.57,,,,,,,,,
248,13,3,,2,,,,,4.89,,,,,,,,,
249,13,2,,5,,,,,5.29,,,,,,,,,
250,13,2,,11,,,,,8.34,,,,,,,,,
251,13,2,,53,,,,,8.1,,,,,,,,,
252,13,2,,92,,y,,,9.63,,,,,,,,,
253,13,2,,46,,,,,8.93,,,,,,,,,
254,13,1,,66,,y,,,10.28,,,,,,,,,
255,13,3,,23,,y,,,9.65,,,,,,,,,
256,13,2,,27,,,,,5.93,,,,,,,,,
257,13,1,,23,,y,,,9.25,,,,,,,,,
258,14,1,,,l,,,strung,17.22,,,,,,,,,
259,14,1,,5,,,,,5.97,,,,,,,,,
260,14,1,,,l,,,strung,17.44,,,,,,,,,
261,14,1,,2,,,,,5.13,,,,,,,,,
262,14,1,,,l,,,,13.32,,,,,,,,,
263,14,2,,35,,,,,7.95,,,,,,,,,
264,14,2,,,l,,,,10.3,,,,,,,,,
265,14,3,,5,,,,,9.76,,,,,,,,,
266,14,3,,9,,,,,9.05,,,,,,,,,
267,14,2,,137,,,,,8.62,,,,,,,,,
268,14,1,,67,,,,,8.64,,,,,,,,,
269,14,1,,92,,,,,9.09,,,,,,,,,
270,14,3,,10,,,,,6.29,,,,,,,,,
271,14,3,,5,,,,,6.92,,,,,,,,,
272,14,3,,9,,,,,7.31,,,,,,,,,
273,14,2,,72,,y,,,8.69,,,,,,,,,
274,14,3,,20,,y,,,9.31,,,,,,,,,
275,14,1,,7,,,,,10.4,,,,,,,,,
276,14,2,,127,,y,,,9.76,,,,,,,,,
277,14,1,,41,,,,,8.03,,,,,,,,,
278,14,3,,11,,y,,,9.72,,,,,,,,,
279,14,3,,12,,y,,,7.23,,,,,,,,,
280,14,1,,10,,y,,,13.26,,,,,,,,,
281,14,1,,,l,,,strung,21.05,,,,,,,,,
282,14,1,,7,,y,,,11.27,,,,,,,,,
283,14,1,,4,,,,,5.97,,,,,,,,,
284,14,1,,4,,,,,8.77,,,,,,,,,
285,14,1,,,l,,,,11.93,,,,,,,,,
286,14,2,,36,,,,,7.73,,,,,,,,,
287,14,2,,,l,,,,11.7,,,,,,,,,
288,14,3,,4,,,,,7.31,,,,,,,,,
289,14,2,,195,,y,,,10.82,,,,,,,,,
290,14,2,,8,,,,,8.76,,,,,,,,,
291,14,2,,123,,,,,11.08,,,,,,,,,
292,14,2,,39,,,,,10.18,,,,,,,,,
293,14,3,,14,,,,,6.52,,,,,,,,,
294,14,2,,67,,,,,9.82,,,,,,,,,
295,14,2,,13,,,,,8.27,,,,,,,,,
296,14,3,,12,,,,,5.38,,,,,,,,,
297,14,2,,88,,,,,8.82,,,,,,,,,
298,14,2,,21,,,,,7.68,,,,,,,,,
299,14,2,,55,,,,,8.87,,,,,,,,,
300,14,1,,83,,y,,,9.93,,,,,,,,,
301,14,1,,6,,,,,6.08,,,,,,,,,
302,14,2,,74,,y,,,7.7,,,,,,,,,
303,14,2,,67,,,,,9.23,,,,,,,,,
304,14,1,,30,,y,,,9.14,,,,,,,,,
305,14,1,,,l,,,,13,,,,,,,,,
306,14,1,,2,,,,,5.43,,,,,,,,,
307,14,1,,,l,,,,11.55,,,,,,,,,
308,14,1,,,l,,,,10.36,,,,,,,,,
309,14,1,,8,,,,,7.37,,,,,,,,,
