Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth,Strung?,Shoot diameter,notes
1,2,1,,,l,,,,18.08,
2,1,1,,6,,,,,5.78,
3,1,1,,,l,,,,10.52,
4,1,1,,,l,,,,11.92,
5,1,3,,3,,,,,7.2,
6,1,2,,37,,,,,6.96,
7,1,1,,,l,,,,8.42,
8,1,2,,51,,,,,8.77,
9,1,3,,13,,,,,7.32,
10,1,2,,71,,,,,8.67,
11,1,3,,2,,,,,5.94,
12,1,2,,141,,,,,9.13,
13,1,2,,108,,y,,,8.77,
14,2,1,,,l,,,,14.88,
15,3,3,,4,,y,,,12.48,
16,3,1,,41,,,,,9.18,
17,3,3,,2,,,,,5.04,
18,3,3,,,l,,,,9.27,
19,4,1,,,l,,,,10.41,
20,4,2,,12,,y,,,8.26,
21,4,2,,,l,,,,9.22,
22,4,1,,166,,,,,9.92,
23,4,2,,,l,,,,9.85,
24,4,3,,3,,,,,7.38,
25,4,2,,102,,,,,8.95,
26,4,2,,5,,,,,6.4,
27,4,3,,6,,,,,5.33,
28,4,2,,151,,,,,8.74,
29,4,3,,7,,,,,5.17,
30,4,1,,68,,,,,9.55,
31,4,3,,3,,,,,6.16,
32,4,3,,1,,,,,4.05,
33,4,3,,3,,,,,6.26,
34,4,3,,1,,,,,5.28,
35,4,3,,3,,,,,6.15,
36,4,3,,5,,,,,6.78,
37,4,3,,1,,,,,4.66,
38,4,3,,6,,,,,6.88,
39,4,2,,18,,,,,6.02,
40,4,1,,45,,,,,7.63,
41,5,1,,7,,y,,,11.56,
42,5,1,,4,,,,,6.05,
43,5,3,,5,,y,,,12.2,
44,5,1,,2,,,,,6.45,
45,5,3,,1,,,,,4.12,
46,5,1,,10,,,,,9.23,
47,5,2,,5,,,,,6.15,
48,5,1,,36,,,,,6.11,
49,5,1,,13,,y,,,15.47,
50,5,1,,,l,,,,12.47,
51,5,1,,,l,,,,12.68,
52,5,1,,99,,,,,9.25,
53,5,2,,,l,,,,10.14,
54,5,3,,1,,,,,6.17,
55,5,1,,6,,,,,6.7,
56,5,2,,98,,,,,10.14,
57,5,2,,,l,,,,12.38,
58,5,3,,1,,,,,4.5,
59,5,2,,41,,,,,7.8,
60,5,2,,61,,,,,8.58,
61,5,2,,56,,,,,8.45,
62,5,3,,42,,,,,7.82,
63,5,3,,2,,,,,5.43,
64,5,3,,7,,,,,5.77,
65,5,1,,47,,y,,,10.4,
66,5,1,,34,,y,,,8.83,
67,5,1,,13,,y,,,9.8,
68,5,1,,19,,y,,,10.7,
69,6,1,,18,,y,,,16.59,
70,6,1,,4,,,,,5.3,
71,6,1,,,l,,,,13.59,
72,6,1,,12,,,,,6.49,
73,6,1,,,l,,,,9.09,
74,6,1,,116,,,,,8.59,
75,6,1,,,l,,,,9.43,
76,6,3,,1,,,,,3.18,
77,6,1,,12,,,,,7.3,
78,6,3,,1,,,,,6.01,
79,6,2,,60,,,,,8.03,
80,6,3,,23,,,,,6.62,
81,6,3,,4,,,,,6.44,
82,6,2,,14,,,,,7.11,
83,6,2,,47,,,,,9.18,
84,6,2,,5,,,,,6.83,
85,6,2,,42,,,,,10.03,
86,6,2,,4,,,,,5.76,
87,6,1,,15,,y,,,7.01,
88,6,1,,180,,,,,8.09,
89,6,1,,4,,,,,5.3,
90,6,1,,,l,,,,14.32,
91,6,1,,,l,,,,12.68,
92,6,1,,142,,,,,9.13,
93,6,1,,55,,,,,8.38,
94,6,2,,6,,,,,7.85,
95,6,3,,3,,,,,8.17,
96,6,1,,154,,y,,,10.35,
