Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth,Strung?,Shoot diameter,notes,,,,,,,,
119,7,1,,40,,,,,7.3,,,,,,,,,
120,7,1,,360,,,,,7.42,,,,,,,,,
121,7,1,,40,,,,,6.75,,,,,,,,,
122,7,1,,360,,,,,8.82,,,,,,,,,
123,7,3,,150,,y,,,8.98,,,,,,,,,
124,7,1,,140,,,,,11.66,,,,,,,,,
125,7,3,,20,,,,,3.71,,,,,,,,,
126,7,1,,,l,,,,8.5,,,,,,,,,
127,7,1,,50,,,,,5.87,,,,,,,,,
128,7,2,,,l,,,,9.33,,,,,,,,,
129,7,3,,140,,,,,7.21,,,,,,,,,
130,7,3,,50,,,,,6.3,,,,,,,,,
131,7,2,,710,,,,,8.53,,,,,,,,,
132,7,3,,50,,,,,5.69,,,,,,,,,
133,7,2,,,l,,,,8.74,,,,,,,,,
134,7,1,,60,,,,,6.73,,,,,,,,,
135,7,2,,380,,,,,6.58,,,,,,,,,
136,7,1,,1020,,,,,9.17,,,,,,,,,
137,7,3,,70,,,,,4.62,,,,,,,,,
138,7,2,,310,,,,,9.67,,,,,,,,,
139,7,3,,270,,,,,6.5,,,,,,,,,
140,7,1,,600,,y,,,9.04,,,,,,,,,
141,7,3,,160,,y,,,8.14,,,,,,,,,
142,7,1,,450,,,,,10.19,,,,,,,,,
143,7,2,,300,,,,,8.15,,,,,,,,,
144,7,2,,200,,y,,,7.66,,,,,,,,,
145,8,1,,100,,,,,5.52,,,,,,,,,
146,8,1,,180,,,,,7.82,,,,,,,,,
147,8,1,,40,,,,,5.01,,,,,,,,,
148,8,1,,150,,y,,,10.04,,,,,,,,,
149,8,1,,,l,,,,10.43,,,,,,,,,
150,8,2,,170,,,,,6.9,,,,,,,,,
151,8,1,,,l,,,,8.94,,,,,,,,,
152,8,2,,470,,,,,8.7,,,,,,,,,
153,8,2,,,l,,,,8.76,,,,,,,,,
154,8,2,,250,,,,,7.39,,,,,,,,,
155,8,2,,140,,,,,6.75,,,,,,,,,
156,8,3,,150,,,,,6.68,,,,,,,,,
157,8,3,,370,,,,,8.28,,,,,,,,,
158,8,1,,560,,,,,9.78,,,,,,,,,
159,8,2,,440,,,,,8.24,,,,,,,,,
160,8,3,,480,,,,,7.73,,,,,,,,,
161,8,3,,30,,,,,5.99,,,,,,,,,
162,8,1,,640,,,,,8.89,,,,,,,,,
163,8,3,,150,,,,,7.3,,,,,,,,,
164,8,2,,70,,,,,6.22,,,,,,,,,
165,8,2,,50,,,,,5.77,,,,,,,,,
166,8,1,,390,,,,,7.03,,,,,,,,,
167,8,1,,80,,,,,6.57,,,,,,,,,
168,8,1,,20,,,,,5.84,,,,,,,,,
169,8,2,,130,,,,,5.11,,,,,,,,,
170,8,1,,200,,y,,,8.31,,,,,,,,,
171,9,1,,180,,y,,,15.28,,,,,,,,,
172,9,1,,20,,,,,6.19,,,,,,,,,
173,9,1,,,l,,,,12.49,,,,,,,,,
174,9,1,,,l,,,,9.24,,,,,,,,,
175,9,1,,1050,,,,,9.05,Dieback,,,,,,,,
176,9,3,,5,,,,,5.44,,,,,,,,,
177,9,1,,150,,,,,7.81,,,,,,,,,
178,9,2,,540,,,,,6.73,,,,,,,,,
179,9,1,,600,,,,,9.73,,,,,,,,,
180,9,2,,70,,,,,6.44,,,,,,,,,
181,9,1,,40,,,,,6.93,,,,,,,,,
182,9,2,,560,,,,,7.44,,,,,,,,,
183,9,1,,480,,,,,9.34,,,,,,,,,
184,9,3,,430,,,,,6.73,,,,,,,,,
185,9,1,,170,,,,,8.58,,,,,,,,,
186,9,2,,470,,,,,7.89,,,,,,,,,
187,9,1,,20,,,,,4.55,,,,,,,,,
188,9,1,,110,,,,,6.77,,,,,,,,,
189,9,2,,550,,,,,8.58,,,,,,,,,
190,9,1,,340,,,,,6.64,,,,,,,,,
191,9,1,,340,,,,,6.8,,,,,,,,,
192,9,1,,420,,,,,7.81,,,,,,,,,
193,9,1,,150,,y,,,7.46,,,,,,,,,
216,10,1,,150,,,,,5.31,,,,,,,,,
217,10,1,,90,,,,,7.51,,,,,,,,,
218,10,1,,60,,y,,,8.61,,,,,,,,,
194,10,1,,,l,,,,13.25,,,,,,,,,
195,10,1,,160,,,,,6.82,,,,,,,,,
196,10,1,,,l,,,,10.16,,,,,,,,,
197,10,1,,,l,,,strung,17.52,,,,,,,,,
198,10,1,,,l,,,,11.73,,,,,,,,,
199,10,3,,50,,,,,6.39,,,,,,,,,
200,10,1,,,l,,,,10.42,,,,,,,,,
201,10,3,,30,,,,,4.96,,,,,,,,,
202,10,3,,70,,,,,5.96,,,,,,,,,
203,10,3,,140,,,,,5.53,,,,,,,,,
204,10,2,,,l,,,,9.55,,,,,,,,,
205,10,2,,,l,,,,8.47,,,,,,,,,
206,10,3,,10,,,,,4.47,,,,,,,,,
207,10,2,,1080,,,,,9.15,,,,,,,,,
208,10,2,,,l,,,,9.43,,,,,,,,,
209,10,2,,460,,,,,7.68,,,,,,,,,
210,10,2,,910,,,,,9.55,,,,,,,,,
211,10,3,,110,,,,,5.09,,,,,,,,,
212,10,1,,850,,,,,8.18,,,,,,,,,
213,10,1,,320,,y,,,8.55,,,,,,,,,
214,10,1,,40,,,,,6.4,,,,,,,,,
215,10,1,,100,,y,,,7.42,,,,,,,,,
219,11,1,,,l,,,strung,10.62,,,,,,,,,
220,11,1,,20,,,,,6.1,,,,,,,,,
221,11,1,,750,,,,,8.73,,,,,,,,,
222,11,1,,90,,,,,6.48,,,,,,,,,
223,11,1,,190,,,,,6.06,,,,,,,,,
224,11,1,,110,,,,,6.39,,,,,,,,,
225,11,3,,50,,,,,5.17,,,,,,,,,
226,11,2,,100,,,,,5.88,,,,,,,,,
227,11,3,,20,,,,,6.32,,,,,,,,,
228,11,2,,200,,,,,5.94,,,,,,,,,
229,11,3,,90,,,,,6.26,,,,,,,,,
230,11,3,,10,,,,,4.32,,,,,,,,,
231,11,3,,260,,,,,8.17,,,,,,,,,
232,11,3,,50,,,,,7.12,,,,,,,,,
233,11,3,,30,,,,,4.84,,,,,,,,,
234,11,3,,30,,,,,5.97,,,,,,,,,
235,11,2,,390,,,,,7.45,,,,,,,,,
236,11,3,,40,,,,,6.15,,,,,,,,,
237,11,3,,30,,,,,7.02,,,,,,,,,
238,11,2,,120,,,,,5.38,,,,,,,,,
239,11,3,,130,,,,,7.91,,,,,,,,,
240,11,3,,20,,,,,6.29,,,,,,,,,
241,11,2,,400,,,,,7.43,,,,,,,,,
242,11,1,,50,,,,,6.81,,,,,,,,,
243,11,2,,70,,,,,6.74,,,,,,,,,
244,11,3,,90,,,,,6.22,,,,,,,,,
245,11,3,,110,,,,,5.45,,,,,,,,,
246,12,1,,60,,,,,6.67,,,,,,,,,
247,12,1,,50,,y,,,11.08,,,,,,,,,
248,12,1,,230,,,,,6.99,,,,,,,,,
249,12,1,,440,,,,,7.8,,,,,,,,,
250,12,2,,40,,,,,5.55,,,,,,,,,
251,12,2,,780,,,,,7.67,,,,,,,,,
252,12,2,,500,,,,,7.52,,,,,,,,,
253,12,3,,100,,,,,6.4,,,,,,,,,
254,12,3,,90,,,,,6.7,,,,,,,,,
255,12,2,,400,,,,,6.93,,,,,,,,,
256,12,3,,170,,,,strung,7.94,,,,,,,,,
257,12,3,,160,,,,,6.46,,,,,,,,,
258,12,3,,120,,,,,6.1,,,,,,,,,
259,12,2,,600,,,,,8.54,,,,,,,,,
260,12,3,,50,,,,,5.7,,,,,,,,,
261,12,3,,410,,,,,5.43,,,,,,,,,
262,12,2,,520,,,,,8.49,,,,,,,,,
263,12,2,,600,,,,,7.16,,,,,,,,,
264,12,3,,230,,,,,7.31,,,,,,,,,
265,13,1,,450,,,,,7.83,,,,,,,,,
266,13,1,,30,,,,,4.93,,,,,,,,,
267,13,1,,,l,,,strung,15.47,,,,,,,,,
268,13,1,,,l,,,,14.06,,,,,,,,,
269,13,1,,,l,,,,10.79,,,,,,,,,
270,13,1,,30,,,,strung,6.04,,,,,,,,,
271,13,3,,100,,y,,,10.05,,,,,,,,,
272,13,1,,,l,,,,11.64,,,,,,,,,
273,13,2,,,l,,,,9.62,,,,,,,,,
274,13,1,,,l,,,,12.66,,,,,,,,,
275,13,2,,,l,,,,9.3,,,,,,,,,
276,13,3,,1150,,,,,6.36,,,,,,,,,
277,13,1,,,l,,,,11.78,,,,,,,,,
278,13,1,,980,,,,,8.61,,,,,,,,,
279,13,1,,1010,,y,,,11.67,,,,,,,,,
280,13,1,,970,,y,,,10.06,,,,,,,,,
281,13,3,,140,,,,,5.86,,,,,,,,,
282,13,2,,780,,y,,,9.77,,,,,,,,,
283,13,1,,320,,,,,7.79,,,,,,,,,
284,13,3,,80,,,,,4.53,,,,,,,,,
285,13,1,,400,,,,,7.14,,,,,,,,,
286,13,1,,420,,y,,,9.07,,,,,,,,,
287,13,2,,180,,y,,,9.04,,,,,,,,,
288,13,1,,160,,y,,,8.8,,,,,,,,,
289,13,1,,20,,,,,5.09,,,,,,,,,
290,13,1,,220,,,,,6.63,,,,,,,,,
291,13,1,,40,,,,,4.57,,,,,,,,,
292,13,1,,80,,y,,,11.37,,,,,,,,,
293,13,1,,30,,,,,6.43,,,,,,,,,
294,13,1,,40,,,,,5.8,,,,,,,,,
295,13,1,,,l,,,,9.81,,,,,,,,,
296,13,1,,330,,,,,7.61,,,,,,,,,
297,13,1,,160,,,,,7.09,,,,,,,,,
298,13,1,,,l,,,,8.28,,,,,,,,,
299,13,1,,250,,,,,7.29,,,,,,,,,
300,13,2,,60,,,,,5.43,,,,,,,,,
