Vine,Tray,TrayFruit,FruitUUID,ShootUUID,Quadrant,QuadrantFromLeader,QuadrantFromTrunk,FruitPos,FloweringColour,FloweringDate,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
1,5,7,10079,1-44,4,1,3,1,,,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,120.3,D3026,5.21,0.96,64.09,32.77,103.6,63.38,31.19,102.7,3.14,2.17,15,,18.42610365,103.15,2.655,15,
1,5,8,10080,1-44,4,1,3,2,y,2019-11-04,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,109.47,D3027,4.8,0.9,63.31,34.05,102.8,62.13,32.97,103.7,1.78,1.7,15,,18.75,103.25,1.74,15,
1,5,9,10081,1-45,4,1,3,1,p,2019-11-08,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,102.15,D3028,4.41,0.85,64.65,29.41,102.7,64.16,37.39,104.2,1.36,1.16,15,,19.27437642,103.45,1.26,15,
1,5,10,10082,1-45,4,1,3,2,w,2019-11-06,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,120.38,D3029,5.97,1.09,61.64,34.51,105.5,62.19,34.44,104.6,2.15,1.78,15,,18.25795645,105.05,1.965,15,
1,5,11,10083,1-45,4,1,3,3,p,2019-11-08,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,112.81,D3030,5.62,1.05,63.84,30.78,103.5,63.63,27.3,103.1,3.29,2.88,15,,18.68327402,103.3,3.085,15,
1,5,12,10084,1-45,4,1,3,4,w,2019-11-06,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,93.7,D3031,4.96,0.9,61.19,26.54,101.8,63.59,30.23,102,3.06,2.13,15,,18.14516129,101.9,2.595,15,
1,5,13,10085,1-46,5,2,3,1,w,2019-11-06,n,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,116.47,D3032,4.7,0.81,62.43,30.36,105.3,64.13,32.23,106,1.37,1.66,15,,17.23404255,105.65,1.515,15,
1,5,14,10086,1-46,5,2,3,2,w,2019-11-06,m,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,108.91,D3033,4.55,0.8,62.42,30.68,104.2,63.54,26.55,103.3,1.44,1.4,14,,17.58241758,103.75,1.42,14,
1,5,15,10087,1-46,5,2,3,3,w,2019-11-06,l,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,113.86,D3034,5.32,0.95,64.15,31.43,104.1,63.16,27.11,102.5,1.85,1.73,15,,17.85714286,103.3,1.79,15,
1,5,16,10088,1-47,5,2,3,1,w,2019-11-06,m,10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,123.79,D3035,5.27,0.93,63.27,31.68,103.7,63.16,28.97,102.1,2.64,2.89,15,,17.64705882,102.9,2.765,15,
